word,count
modi,70541
india,16100
all,9140
his,8190
bjp,7089
more,7027
who,6999
people,6956
like,6089
what,5976
congress,5820
now,5718
narendra,5538
only,5454
its,5247
one,4972
govt,4905
good,4793
why,4696
vote,4437
