word,count
modi,49871
india,6739
all,4084
narendra,4017
bjp,3989
what,3769
his,3688
congress,3574
only,3495
who,3185
why,3090
vote,3056
like,3053
people,2874
now,2853
modis,2627
govt,2496
dont,2252
election,2240
when,2134
